benchmark,mGETS,mGETXIM,mGETXSM,instrs,cycles,cCycles,overall_cycles,IPC,total_misses,MKPI
streamcluster_8c_simlarge,36236213,182217,0,5000029350,6697742357,930172154,7627914511,0.6555,36418430,7.2836
fluidanimate_8c_simlarge,3118697,1370928,0,5000032887,3618613140,140001804,3758614944,1.3303,4489625,0.8979
bodytrack_8c_simlarge,77994,70840,0,5000027683,3031734100,3500839,3035234939,1.6473,148834,0.0298
mcf,7971496,121510,0,100000428,651592571,148260331,799852902,0.125,8093006,80.9297
dedup_8c_simlarge,0,0,0,0,0,0,0,0,0,0
bzip2,108745,197427,0,100017428,109320128,8725863,118045991,0.8473,306172,3.0612
xalan,65015,56919,0,100004733,60850126,2648553,63498679,1.5749,121934,1.2193
calculix,5690,199,0,100016359,50250001,217798,50467799,1.9818,5889,0.0589
libquantum,2504676,15,0,100005563,158702360,36970274,195672634,0.5111,2504691,25.0455
x264_8c_simlarge,2313944,1159830,0,5000042618,3009117383,52605453,3061722836,1.6331,3473774,0.6947
gcc,229368,59189,0,100000340,123740045,8187885,131927930,0.758,288557,2.8856
canneal_8c_simlarge,22794294,804,0,1721919087,4991462355,981962239,5973424594,0.2883,22795098,13.2382
blackscholes_8c_simlarge,25182,4268,0,4062699947,3180837428,682324,3181519752,1.277,29450,0.0072
soplex,1725467,371995,0,100001326,223181764,41829958,265011722,0.3773,2097462,20.9743
cactusADM,347493,136397,0,100002855,84421093,10041688,94462781,1.0586,483890,4.8388
namd,1028,25794,0,100000909,53380001,324451,53704452,1.8621,26822,0.2682
lbm,786412,2308993,0,100003587,146952477,26916757,173869234,0.5752,3095405,30.9529
hmmer,4493,123672,0,100017792,61440002,3733753,65173755,1.5346,128165,1.2814
sjeng,33581,2658,0,100012470,85430147,1087974,86518121,1.156,36239,0.3623
freqmine_8c_simlarge,0,0,0,0,0,0,0,0,0,0
swaptions_8c_simlarge,2362,8858,0,5000007488,3213700048,224585,3213924633,1.5557,11220,0.0022
