benchmark,mGETS,mGETXIM,mGETXSM,instrs,cycles,cCycles,overall_cycles,IPC,total_misses,MKPI
streamcluster_8c_simlarge,18164965,214163,0,5000043181,5094062725,531651933,5625714658,0.8888,18379128,3.6758
fluidanimate_8c_simlarge,3044260,1367977,0,5000089907,3616342469,139269888,3755612357,1.3314,4412237,0.8824
bodytrack_8c_simlarge,81849,72506,0,5000080099,3031606689,3628754,3035235443,1.6473,154355,0.0309
mcf,7747350,116922,0,100000774,637462479,144408889,781871368,0.1279,7864272,78.6421
dedup_8c_simlarge,0,0,0,0,0,0,0,0,0,0
bzip2,102015,199360,0,100017899,108570376,8545709,117116085,0.854,301375,3.0132
xalan,68465,58015,0,100011948,61110335,2754621,63864956,1.566,126480,1.2646
calculix,5677,213,0,100019333,50250004,220647,50470651,1.9817,5890,0.0589
libquantum,2505050,16,0,100004815,158712139,36967718,195679857,0.5111,2505066,25.0495
x264_8c_simlarge,2413265,1173419,0,5000001506,3026957216,58918075,3085875291,1.6203,3586684,0.7173
gcc,211256,64549,0,100000602,121880254,7749918,129630172,0.7714,275805,2.758
canneal_8c_simlarge,21459818,5051,0,1721925334,4936315721,954851744,5891167465,0.2923,21464869,12.4656
blackscholes_8c_simlarge,25182,4268,0,4062699947,3180795291,676757,3181472048,1.277,29450,0.0072
soplex,1737067,399565,0,100001676,226721864,43230182,269952046,0.3704,2136632,21.366
cactusADM,344892,136190,0,100007652,84460895,10004132,94465027,1.0587,481082,4.8105
namd,1132,25795,0,100015587,53400001,328058,53728059,1.8615,26927,0.2692
lbm,789587,2309044,0,100003705,147252492,27018145,174270637,0.5738,3098631,30.9852
hmmer,7572,136319,0,100010213,62780298,4190721,66971019,1.4933,143891,1.4388
sjeng,34497,2864,0,100003948,85530123,1136595,86666718,1.1539,37361,0.3736
freqmine_8c_simlarge,0,0,0,0,0,0,0,0,0,0
swaptions_8c_simlarge,2360,8859,0,5000003171,3213700183,228798,3213928981,1.5557,11219,0.0022
